sequence,phase,new_message_target,partner_slug,partner_name,contact_name,recipient_email,industry,state,personalization_evidence,first_message_date,follow_up_date,first_case_requested_date,result_sent_date,second_case_date,resource_placement_date,unique_link,site_opened,site_generated,site_copied_or_downloaded,site_official_route_opened,status,next_action,notes_without_property_details
1,days_1_7,14,,,,,,,,,,,,,,,,,,,,,prospect,
2,days_1_7,14,,,,,,,,,,,,,,,,,,,,,prospect,
3,days_1_7,14,,,,,,,,,,,,,,,,,,,,,prospect,
4,days_1_7,14,,,,,,,,,,,,,,,,,,,,,prospect,
5,days_1_7,14,,,,,,,,,,,,,,,,,,,,,prospect,
6,days_1_7,14,,,,,,,,,,,,,,,,,,,,,prospect,
7,days_1_7,14,,,,,,,,,,,,,,,,,,,,,prospect,
8,days_8_14,9,,,,,,,,,,,,,,,,,,,,,prospect,
9,days_8_14,9,,,,,,,,,,,,,,,,,,,,,prospect,
10,days_8_14,9,,,,,,,,,,,,,,,,,,,,,prospect,
11,days_8_14,9,,,,,,,,,,,,,,,,,,,,,prospect,
12,days_8_14,9,,,,,,,,,,,,,,,,,,,,,prospect,
13,days_8_14,9,,,,,,,,,,,,,,,,,,,,,prospect,
14,days_8_14,9,,,,,,,,,,,,,,,,,,,,,prospect,
15,days_15_21,5,,,,,,,,,,,,,,,,,,,,,prospect,
16,days_15_21,5,,,,,,,,,,,,,,,,,,,,,prospect,
17,days_15_21,5,,,,,,,,,,,,,,,,,,,,,prospect,
18,days_15_21,5,,,,,,,,,,,,,,,,,,,,,prospect,
19,days_15_21,5,,,,,,,,,,,,,,,,,,,,,prospect,
20,days_15_21,5,,,,,,,,,,,,,,,,,,,,,prospect,
21,days_15_21,5,,,,,,,,,,,,,,,,,,,,,prospect,
